customer_id,age,gender,city,income,spend_amount,satisfaction,feedback,email,vip_level,register_date,member_score,异常原因
CUST0028,39,男,南京,8461.18,-500.0,1,产品质量不错，性价比高,user28@163.com,金卡,2022-01-28,49.7,"spend_amount列值-500.0超出范围[0.00, 1008.63]"
CUST0093,64,女,北京,-1723.8,555.99,3,服务很好，会继续支持,user93@qq.com,普通,2022-04-03,,"income列值-1723.8超出范围[313.91, 15621.29]"
CUST0127,51,女,南京,,-39.38,5,物流有点慢，希望改进,user127@163.com,金卡,2022-05-07,60.7,"spend_amount列值-39.38超出范围[0.00, 1008.63]"
CUST0026,50,未知,深圳,9155.95,99999.0,3,一般般，没什么特别的,user26@gmail.com,普通,2022-01-26,,"spend_amount列值99999.0超出范围[0.00, 1008.63]"
CUST0010,40,未知,广州,16160.51,319.14,5,产品质量不错，性价比高,user10@163.com,普通,2022-01-10,67.7,"income列值16160.51超出范围[313.91, 15621.29]"
CUST0324,-5,女,深圳,5416.15,576.48,3,服务很好，会继续支持,user324@qq.com,普通,2022-11-20,74.4,"age列值-5超出范围[0.00, 95.00]"
CUST0252,23,男,广州,13266.02,50000.0,3,物流有点慢，希望改进,user252@qq.com,普通,2022-09-09,92.9,"spend_amount列值50000.0超出范围[0.00, 1008.63]"
CUST0039,130,女,北京,9545.14,578.89,3,包装精美，体验很好,user39@qq.com,普通,2022-02-08,,"age列值130超出范围[0.00, 95.00]"
CUST0092,35,男,,7821.42,488.88,-1,包装精美，体验很好,user92@gmail.com,金卡,2022-04-02,,"satisfaction列值-1超出范围[0.00, 7.00]"
CUST0274,50,男,南京,7732.64,88888.0,5,客服态度一般，响应慢,user274@163.com,银卡,2022-10-01,93.9,"spend_amount列值88888.0超出范围[0.00, 1008.63]"
CUST0135,57,女,广州,7937.3,1014.67,1,产品质量不错，性价比高,user135@qq.com,普通,2022-05-15,,"spend_amount列值1014.67超出范围[0.00, 1008.63]"
CUST0200,200,男,北京,5680.97,488.61,1,,user200@gmail.com,银卡,2022-07-19,,"age列值200超出范围[0.00, 95.00]"
CUST0243,49,女,,3397.66,1012.02,1,服务很好，会继续支持,user243@qq.com,银卡,2022-08-31,,"spend_amount列值1012.02超出范围[0.00, 1008.63]"
CUST0236,18,女,武汉,,1026.48,4,非常满意，推荐给朋友了,user236@gmail.com,钻石,2022-08-24,,"spend_amount列值1026.48超出范围[0.00, 1008.63]"
CUST0184,45,女,成都,-1000.0,218.31,4,服务很好，会继续支持,user184@163.com,普通,2022-07-03,,"income列值-1000.0超出范围[313.91, 15621.29]"
CUST0314,28,女,武汉,999999.0,346.44,5,客服态度一般，响应慢,user314@gmail.com,普通,2022-11-10,89.6,"income列值999999.0超出范围[313.91, 15621.29]"
CUST0309,37,女,深圳,17236.64,415.96,5,,user309@qq.com,银卡,2022-11-05,,"income列值17236.64超出范围[313.91, 15621.29]"
CUST0115,52,女,成都,14399.1,-200.0,3,,user115@163.com,银卡,2022-04-25,,"spend_amount列值-200.0超出范围[0.00, 1008.63]"
CUST0316,25,男,南京,,546.84,10,一般般，没什么特别的,user316@163.com,普通,2022-11-12,,"satisfaction列值10超出范围[0.00, 7.00]"
CUST0152,32,女,深圳,0.0,85.32,3,包装精美，体验很好,@gmail.com,普通,2022-06-01,63.6,"income列值0.0超出范围[313.91, 15621.29]"
CUST0100,32,女,成都,500000.0,544.78,1,,user100@163.com,银卡,2022-04-10,84.8,"income列值500000.0超出范围[313.91, 15621.29]"
CUST0149,56,女,上海,8972.5,-30.19,1,,user149@gmail.com,普通,2022-05-29,95.5,"spend_amount列值-30.19超出范围[0.00, 1008.63]"
CUST0133,150,女,武汉,10241.88,446.22,3,一般般，没什么特别的,user133@163.com,普通,2022-05-13,67.0,"age列值150超出范围[0.00, 95.00]"
CUST0176,68,男,广州,-5000.0,438.09,1,包装精美，体验很好,user176@gmail.com,普通,2022-06-25,,"income列值-5000.0超出范围[313.91, 15621.29]"
